Address,Latitude,Longitude,Storey_Range,Lease_Commence,Resale_Price
183 BISHAN ST 13,1.35045853468042,103.852476179728,13 TO 15,1987,836000
291 BISHAN ST 24,1.35591015038816,103.845158434779,07 TO 09,1998,720000
273B BISHAN ST 24,1.35607299328815,103.843470177697,10 TO 12,2011,985000
450 SIN MING AVE,1.35835553844472,103.830397807509,01 TO 03,1989,680000
164 BISHAN ST 13,1.3484635242507,103.856094684689,04 TO 06,1988,730000
183 BISHAN ST 13,1.35045853468042,103.852476179728,01 TO 03,1987,670000
275A BISHAN ST 24,1.35673539047079,103.843519752733,16 TO 18,2011,988888
291 BISHAN ST 24,1.35591015038816,103.845158434779,07 TO 09,1998,720000
288 BISHAN ST 24,1.35693902753876,103.845175991037,19 TO 21,1998,758000
135 BISHAN ST 12,1.34456216829425,103.851287598109,19 TO 21,1987,820888
153 BISHAN ST 13,1.34608966743029,103.855078724794,07 TO 09,1987,690000
183 BISHAN ST 13,1.35045853468042,103.852476179728,16 TO 18,1987,780000
196 BISHAN ST 13,1.34816798486428,103.850312170279,07 TO 09,1987,750000
194 BISHAN ST 13,1.34829912335444,103.851419417474,07 TO 09,1987,806000
237 BISHAN ST 22,1.35941996625406,103.847150341404,10 TO 12,1992,840000
292 BISHAN ST 22,1.35601736515831,103.845668085918,19 TO 21,1998,835000
273B BISHAN ST 24,1.35607299328815,103.843470177697,13 TO 15,2011,940000
273B BISHAN ST 24,1.35607299328815,103.843470177697,34 TO 36,2011,950000
273B BISHAN ST 24,1.35607299328815,103.843470177697,07 TO 09,2011,985000
447 BRIGHT HILL DR,1.35822160781612,103.831932958776,19 TO 21,1990,748000
448 BRIGHT HILL DR,1.35840616993708,103.831431580561,01 TO 03,1990,680000
442 SIN MING AVE,1.35923575652593,103.832368846087,04 TO 06,1990,715000
101 BISHAN ST 12,1.34485915828155,103.848400765185,13 TO 15,1987,778000
128 BISHAN ST 12,1.34608831988486,103.850466820468,19 TO 21,1987,868000
161 BISHAN ST 13,1.34759183482173,103.856411840501,04 TO 06,1988,718000
155 BISHAN ST 13,1.34622709238314,103.85590556522,19 TO 21,1987,718000
